,seconds_interaction,dyad_01_MG_P1P2,dyad_02_MG_P1P2,dyad_03_MG_P1P2,dyad_04_MG_P1P2,dyad_05_MG_P1P2,dyad_06_MG_P1P2,dyad_07_MG_P1P2,dyad_08_MG_P1P2,dyad_09_MG_P1P2,dyad_10_MG_P1P2,dyad_11_MG_P1P2
473,0.81,,,,,1.0,,,,,,
474,0.812,,0.0,,,,,,,,,
475,0.814,,,,,,,,0.0,,,
476,0.817,,,,,,,,,,,0.0
477,0.818,0.0,,,,,,,,,,
478,0.82,,,,,,,0.0,,,,
479,0.823,,,,,,,,,,0.0,
480,0.825,,,,,,0.0,,,,,
481,0.828,,,1.0,,1.0,,,,0.0,,
482,0.83,0.0,,,,,,,,,,0.0
483,0.831,,,,,,,,0.0,,,
484,0.834,,,,0.0,,,,,,,
485,0.839,,0.0,,,,0.0,,,,,
486,0.84,,0.0,,,,,0.0,,,,
487,0.841,0.0,,,,,,,,,,
488,0.842,,,,,0.0,,,,,,
489,0.843,,,,,0.0,,,,,,
490,0.847,,,,,,,,0.0,,,
491,0.848,,,1.0,,,,,,,,
492,0.85,,0.0,,,,,,,,,0.0
493,0.851,0.0,0.0,,,,,,,0.0,,
494,0.853,,,,,,0.0,,,,,
495,0.854,,,,,,,0.0,,,0.0,
496,0.856,,,,0.0,,,,,,,
497,0.861,,,,,0.0,,,,,,
498,0.863,0.0,,,,,,,,,,0.0
499,0.867,,,,,,,0.0,0.0,,,
500,0.868,,0.0,1.0,,,,,,,,
501,0.869,,0.0,,,,0.0,,,,,
502,0.873,0.0,,,,,,,,0.0,,
503,0.874,,,,,0.0,,,,,,
504,0.875,,,,0.0,0.0,,,,,,
505,0.876,,,,,,,,,,,0.0
506,0.877,,,,,,,,,,0.0,
507,0.878,,,,,,,,,,0.0,
508,0.879,,0.0,,,,,,,,,
509,0.882,,,,,,,1.0,,,,
510,0.884,0.0,,,,,0.0,,,,,
511,0.887,,,1.0,,,,,,,,
512,0.888,,,,,0.0,,,,,,0.0
513,0.889,,,,,,,,0.0,,,
514,0.891,,0.0,,,,,,,,,
515,0.894,,,,0.0,,,,,,,
516,0.895,,,,0.0,,,1.0,,0.0,,
517,0.896,0.0,,,,,,1.0,,,,
518,0.899,,,,,,,,,,0.0,
519,0.901,,,,,,,,,,,0.0
520,0.902,,,,,0.0,,,,,,
521,0.904,,0.0,,,,0.0,,0.0,,,
522,0.907,0.0,,1.0,,,,,,,,
523,0.908,,,,,,,1.0,,,,
524,0.913,,,,0.0,,,,,,,0.0
525,0.914,,,,0.0,,,,,,,
526,0.915,,0.0,,,0.0,,,,,,
527,0.916,,,,,0.0,,,,0.0,,
528,0.918,0.0,,,,,,,,,,
529,0.92,,,,,,,,0.0,,,
530,0.921,,,,,,0.0,,,,,
531,0.922,,,,,,,,,,0.0,
532,0.923,,,,,,,,,,0.0,
533,0.924,,0.0,,,,,,,,,
534,0.925,,0.0,,,,,,,,,
535,0.926,,,,,,,,,0.0,,0.0
536,0.928,,,1.0,,,,,,,,
537,0.929,,,,,0.0,,1.0,,,,
538,0.932,,,,0.0,,,,,,,
539,0.933,,,,0.0,,,,,,,
540,0.935,,0.0,,,,,,,,,
541,0.937,,,,,,0.0,,,,,
542,0.939,0.0,,,,,,,0.0,,,0.0
543,0.943,,,,,,,1.0,,,,
544,0.945,,,,,,,,,,0.0,
545,0.946,,0.0,,,,,,,,0.0,
546,0.947,,,1.0,,,,,,,,
547,0.948,0.0,,,,,,,,0.0,,
548,0.95,,,,,0.0,0.0,,,,,
549,0.951,,,,,0.0,,,,,,0.0
550,0.954,,,,0.0,,,,,,,
551,0.955,,,,0.0,,,,,,,
552,0.957,,0.0,,,,,,,,,
553,0.959,0.0,,,,,,,,,,
554,0.963,,,,,,,1.0,0.0,,,
555,0.964,,,,,0.0,,,,,,
556,0.965,,,,,0.0,,,,,,
557,0.966,,,,,,0.0,,,,,
558,0.968,0.0,0.0,,,,,,,,0.0,
559,0.969,,,1.0,,,,,,,,
560,0.971,,,,,,,,,,,0.0
561,0.972,,,1.0,,,,,,0.0,,
562,0.976,,,,0.0,,,,,,,
563,0.977,,,,0.0,,,0.0,,,,
564,0.978,,0.0,,,,,,0.0,,,
565,0.979,,0.0,,,,,,,,,
566,0.98,,,,,,0.0,,,,,
567,0.983,,,,,0.0,,,,,,
568,0.984,0.0,,,,,,,,,,0.0
569,0.988,,,,,,0.0,,,,,
570,0.99,,0.0,,,,,,,,,
571,0.991,,0.0,1.0,,,,0.0,,,0.0,
572,0.993,,,,,,,,0.0,,,
573,0.994,0.0,,,,,,,,,,
574,0.995,,,,,,,,,0.0,,
575,0.996,,,,0.0,,,,,,,
576,0.997,,,,,0.0,,,,,,0.0
577,1.001,,0.0,,,,0.0,,,,,
578,1.003,0.0,,,,,,,,,,
579,1.004,,,,,,,0.0,,,,
580,1.01,,0.0,,,0.0,,,0.0,,,0.0
581,1.013,0.0,,,,,,,,,0.0,
582,1.016,,,,,,,,,0.0,,
583,1.017,,,1.0,,,,,,,,
584,1.018,,,,,,0.0,,,,,
585,1.02,,,,,,,0.0,,,,
586,1.021,,0.0,,0.0,,,,,,,
587,1.022,0.0,0.0,,,,,,,,,0.0
588,1.023,,,,,0.0,,,,,,
589,1.028,,,,,,,,0.0,,,
590,1.032,0.0,,,,,,,,,,
591,1.034,,0.0,,,,,,,,,0.0
592,1.035,,0.0,,,,,,,,,
593,1.036,,,1.0,,,0.0,,,,0.0,
594,1.039,,,,,0.0,,,,0.0,,
595,1.041,,,,,,,0.0,,,,
596,1.042,0.0,,,,,,,,,,
597,1.043,,,,0.0,,,,0.0,,,
598,1.046,,0.0,,,,,,,,,
599,1.05,,,,,,,,,,,0.0
600,1.051,0.0,,,,,,,,,,0.0
601,1.052,,,,,,0.0,,,,,
602,1.053,,,,,0.0,,,,,,
603,1.056,,0.0,1.0,,,,0.0,,,,
604,1.058,,,,,,,,0.0,,,
605,1.06,,,,,,,,,,0.0,
606,1.061,,,,,,,,,0.0,0.0,
607,1.062,0.0,,,,,,,,,,
608,1.064,,,,0.0,,,,,,,0.0
609,1.066,,,,,,0.0,,,,,
610,1.068,,0.0,,,,,,,,,
611,1.072,,,,,0.0,,,,,,
612,1.073,0.0,,,,0.0,,,,,,
613,1.074,,,,,,,0.0,,,,
614,1.077,,,1.0,,,,,0.0,,,
615,1.08,,,,,,0.0,,,,,
616,1.082,,,,0.0,,,,,,,
617,1.083,,0.0,,,,,,,,,0.0
618,1.084,0.0,0.0,,,,,,,0.0,0.0,
619,1.086,,,,,0.0,,,,,,
620,1.087,,,,,,,1.0,,,,
621,1.093,,,,,,,,0.0,,,
622,1.094,,0.0,,,,,,,,,
