,triad_01_MG_P1P2,triad_01_MG_P1P3,triad_01_MG_P2P3,triad_01_seconds_interaction,triad_03_MG_P1P2,triad_03_MG_P1P3,triad_03_MG_P2P3,triad_03_seconds_interaction,triad_04_MG_P1P2,triad_04_MG_P1P3,triad_04_MG_P2P3,triad_04_seconds_interaction,triad_05_MG_P1P2,triad_05_MG_P1P3,triad_05_MG_P2P3,triad_05_seconds_interaction,triad_06_MG_P1P2,triad_06_MG_P1P3,triad_06_MG_P2P3,triad_06_seconds_interaction,triad_07_MG_P1P2,triad_07_MG_P1P3,triad_07_MG_P2P3,triad_07_seconds_interaction,triad_08_MG_P1P2,triad_08_MG_P1P3,triad_08_MG_P2P3,triad_08_seconds_interaction,triad_09_MG_P1P2,triad_09_MG_P1P3,triad_09_MG_P2P3,triad_09_seconds_interaction,triad_02_MG_P1P2,triad_02_MG_P1P3,triad_02_MG_P2P3,triad_02_seconds_interaction,triad_11_MG_P1P2,triad_11_MG_P1P3,triad_11_MG_P2P3,triad_11_seconds_interaction,triad_10_MG_P1P2,triad_10_MG_P1P3,triad_10_MG_P2P3,triad_10_seconds_interaction,triad_14_MG_P1P2,triad_14_MG_P1P3,triad_14_MG_P2P3,triad_14_seconds_interaction,triad_12_MG_P1P2,triad_12_MG_P1P3,triad_12_MG_P2P3,triad_12_seconds_interaction,triad_13_MG_P1P2,triad_13_MG_P1P3,triad_13_MG_P2P3,triad_13_seconds_interaction
23345,0,0,0,269.721,0.0,0.0,0.0,305.108,0.0,0.0,0.0,242.613,0.0,0.0,0.0,319.061,0.0,0.0,0.0,320.922,0.0,0.0,0.0,156.314,0.0,0.0,0.0,243.782,0.0,0.0,1.0,331.884,0.0,0.0,0.0,289.417,1.0,0.0,0.0,,0.0,0.0,0.0,369.815,0.0,0.0,0.0,342.065,0.0,0.0,0.0,251.971,0.0,0.0,0.0,375.903
23346,0,0,0,269.734,0.0,0.0,0.0,305.125,0.0,0.0,0.0,242.625,0.0,0.0,0.0,319.078,0.0,0.0,0.0,320.938,0.0,0.0,0.0,156.328,0.0,0.0,0.0,243.803,0.0,0.0,1.0,331.911,0.0,0.0,0.0,289.434,1.0,0.0,0.0,,0.0,0.0,0.0,369.844,0.0,0.0,0.0,342.079,0.0,0.0,0.0,251.991,0.0,0.0,0.0,375.932
23347,0,0,0,269.747,0.0,0.0,0.0,305.143,0.0,0.0,0.0,242.636,0.0,0.0,0.0,319.095,0.0,0.0,0.0,320.955,0.0,0.0,0.0,156.342,0.0,0.0,0.0,243.82,0.0,0.0,0.0,331.941,0.0,0.0,0.0,289.435,1.0,0.0,0.0,,0.0,0.0,0.0,369.845,0.0,0.0,0.0,342.105,0.0,0.0,0.0,251.992,0.0,0.0,0.0,375.95
23348,0,0,0,269.764,0.0,0.0,0.0,305.16,0.0,0.0,0.0,242.647,0.0,0.0,0.0,319.111,0.0,0.0,0.0,320.972,0.0,0.0,0.0,156.355,0.0,0.0,0.0,243.838,0.0,0.0,1.0,331.963,0.0,0.0,0.0,289.452,1.0,0.0,0.0,,0.0,0.0,0.0,369.862,0.0,0.0,0.0,342.12,0.0,0.0,0.0,252.01,0.0,0.0,0.0,375.959
23349,0,0,0,269.777,0.0,0.0,0.0,305.179,0.0,0.0,0.0,242.659,0.0,0.0,0.0,319.127,0.0,0.0,0.0,320.988,0.0,0.0,0.0,156.376,0.0,0.0,0.0,243.859,0.0,0.0,1.0,331.964,0.0,0.0,0.0,289.453,1.0,0.0,0.0,,0.0,0.0,0.0,369.879,0.0,0.0,0.0,342.139,0.0,0.0,0.0,252.03,0.0,0.0,0.0,375.979
23350,0,0,0,269.778,0.0,0.0,0.0,305.196,0.0,0.0,0.0,242.66,0.0,0.0,0.0,319.144,0.0,0.0,0.0,321.002,0.0,0.0,0.0,156.389,0.0,0.0,0.0,243.878,0.0,0.0,1.0,331.986,0.0,0.0,0.0,289.472,1.0,0.0,0.0,,0.0,0.0,0.0,369.896,0.0,0.0,0.0,342.152,0.0,0.0,0.0,252.052,0.0,0.0,0.0,375.998
23351,0,0,0,269.796,0.0,0.0,0.0,305.213,0.0,0.0,0.0,242.671,0.0,0.0,0.0,319.161,0.0,0.0,0.0,321.019,0.0,0.0,0.0,156.409,0.0,0.0,0.0,243.895,0.0,0.0,1.0,332.012,0.0,0.0,0.0,289.473,1.0,0.0,0.0,,0.0,0.0,0.0,369.915,0.0,0.0,0.0,342.175,0.0,0.0,0.0,252.082,0.0,0.0,0.0,376.016
23352,0,0,0,269.809,0.0,0.0,0.0,305.23,0.0,0.0,0.0,242.683,0.0,0.0,0.0,319.178,0.0,0.0,0.0,321.034,0.0,0.0,0.0,156.413,0.0,0.0,0.0,243.913,0.0,0.0,1.0,332.034,0.0,0.0,0.0,289.492,1.0,0.0,0.0,,0.0,0.0,0.0,369.931,0.0,0.0,0.0,342.188,0.0,0.0,0.0,252.083,0.0,0.0,0.0,376.036
23353,0,0,0,269.829,0.0,0.0,0.0,305.239,0.0,0.0,0.0,242.695,0.0,0.0,0.0,319.195,0.0,0.0,0.0,321.049,0.0,0.0,0.0,156.426,0.0,0.0,0.0,243.931,0.0,0.0,0.0,332.058,0.0,0.0,0.0,289.493,1.0,0.0,0.0,,0.0,0.0,0.0,369.963,0.0,0.0,0.0,342.206,0.0,0.0,0.0,252.093,0.0,0.0,0.0,376.054
23354,0,0,0,269.841,0.0,0.0,0.0,305.257,0.0,0.0,0.0,242.706,0.0,0.0,0.0,319.211,0.0,0.0,0.0,321.067,0.0,0.0,0.0,156.44,0.0,0.0,0.0,243.951,0.0,0.0,0.0,332.081,0.0,0.0,0.0,289.511,1.0,0.0,0.0,,0.0,0.0,0.0,369.981,0.0,0.0,0.0,342.226,0.0,0.0,0.0,252.115,0.0,0.0,0.0,376.075
