split,detector,model,fold,test_group,accuracy
All,audio+linguistic+GazexSpeaking,SVM,5,triad_06,1.000000
All,audio+linguistic+GazexSpeaking,SVM,6,triad_05,0.454545
All,audio+linguistic+GazexSpeaking,SVM,7,triad_13,0.636364
All,audio+linguistic+GazexSpeaking,SVM,8,triad_14,0.900000
All,audio+linguistic+GazexSpeaking,SVM,9,dyad_06,0.888889
All,audio+linguistic+GazexSpeaking,SVM,10,dyad_11,0.666667
All,audio+linguistic+GazexSpeaking,SVM,11,dyad_02,0.555556
All,audio+linguistic+GazexSpeaking,SVM,12,triad_07,0.750000
All,audio+linguistic+GazexSpeaking,SVM,13,triad_09,0.875000
All,audio+linguistic+GazexSpeaking,SVM,14,triad_12,0.625000
All,audio+linguistic+GazexSpeaking,SVM,15,triad_02,1.000000
All,audio+linguistic+GazexSpeaking,SVM,16,dyad_10,0.857143
All,audio+linguistic+GazexSpeaking,SVM,17,triad_08,1.000000
All,audio+linguistic+GazexSpeaking,SVM,18,triad_10,1.000000
All,audio+linguistic+GazexSpeaking,SVM,19,triad_11,0.000000
All,audio+linguistic+GazexSpeaking,LogReg,0,triad_01,0.923077
All,audio+linguistic+GazexSpeaking,LogReg,1,dyad_03,0.666667
All,audio+linguistic+GazexSpeaking,LogReg,2,dyad_04,0.545455
All,audio+linguistic+GazexSpeaking,LogReg,3,dyad_05,0.727273
All,audio+linguistic+GazexSpeaking,LogReg,4,dyad_07,0.545455
All,audio+linguistic+GazexSpeaking,LogReg,5,triad_06,0.909091
