seconds_interaction_window,triad_01_MG_P1P2,triad_02_MG_P1P2,triad_03_MG_P1P2,triad_04_MG_P1P2,triad_05_MG_P1P2,triad_06_MG_P1P2,triad_07_MG_P1P2,triad_08_MG_P1P2,triad_09_MG_P1P2,triad_10_MG_P1P2,triad_11_MG_P1P2,triad_14_MG_P1P2,triad_12_MG_P1P2,triad_13_MG_P1P2
225.0,0.5255474452554745,0.0,0.0,0.0,0.11746031746031746,0.0,0.0,0.0,0.22556390977443608,0.003367003367003367,0.0,0.0,0.0,0.08029197080291971
230.0,0.23855421686746986,0.04738154613466334,0.0,0.0,0.0911854103343465,0.08524590163934426,0.0,0.05223880597014925,0.0,0.0,0.4444444444444444,0.0,0.0,0.06593406593406594
235.0,0.09558823529411764,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06274509803921569,0.0,,0.0,0.0,0.13427561837455831
240.0,0.2519480519480519,0.06067961165048544,0.0,0.0,0.00303951367781155,0.0,0.0,0.0,0.41338582677165353,0.0,,0.0,0.0,0.010948905109489052
245.0,0.16273584905660377,0.0,0.0,0.0,0.0,0.0,0.0,0.12686567164179105,0.1518987341772152,0.0,,0.0,0.0,0.0
250.0,0.0725,0.002506265664160401,0.0,0.0,0.0,0.32679738562091504,0.0,0.0176678445229682,0.0,0.0,,0.0,0.0,0.0
255.0,0.3285024154589372,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03319502074688797,0.0,,0.0,0.0,0.0
260.0,0.09359605911330049,0.0,0.0,0.0,0.0,0.10891089108910891,0.0,0.04964539007092199,0.2900763358778626,0.0,,0.0,0.0,0.0
265.0,0.28535353535353536,0.0,0.0,0.0,0.0,0.36333333333333334,0.0,0.3238434163701068,0.36666666666666664,0.0202020202020202,,0.0,0.01856763925729443,0.01098901098901099
270.0,0.20673076923076922,0.0,0.0,0.006550218340611353,0.0,0.07094594594594594,0.0,0.0,0.14919354838709678,0.0,,0.0,0.0,0.21328671328671328
275.0,0.2422062350119904,0.0,0.0,0.14912280701754385,0.2392638036809816,0.10355987055016182,0.0,0.0,0.044,0.06968641114982578,,0.0,0.2152230971128609,0.0539568345323741
