analysis,group_split,target,feature,logreg_std_coef,logreg_abs_coef,rf_importance
segment_individual_engagement_base_T,T,engagement_target,word_count,0.8985173921311606,0.8985173921311606,0.08127317767899583
segment_individual_engagement_base_T,T,engagement_target,avg_word_length,0.2723775920898457,0.2723775920898457,0.09293138774212284
segment_individual_engagement_base_T,T,engagement_target,words_per_second,-0.0175369005759746,0.0175369005759746,0.0974929119759784
segment_individual_engagement_base_T,T,engagement_target,question,-0.0930347351041614,0.0930347351041614,0.009203782237600511
segment_individual_engagement_base_T,T,engagement_target,statement,0.0930347351041613,0.0930347351041613,0.00999283777305472
segment_individual_engagement_base_T,T,engagement_target,sentiment_p_blue_mean,0.01374428260779653,0.01374428260779653,0.052275525906627276
segment_individual_engagement_base_T,T,engagement_target,sentiment_p_green_mean,0.08080353057703724,0.08080353057703724,0.054741934538929
segment_individual_engagement_base_T,T,engagement_target,sentiment_p_red_mean,0.06383612426241399,0.06383612426241399,0.05598713267755819
segment_individual_engagement_base_T,T,engagement_target,arousal_mean,0.6810035483297681,0.6810035483297681,0.13172303184805104
segment_individual_engagement_base_T,T,engagement_target,dominance_mean,-0.5981457554495146,0.5981457554495146,0.138109039368163
segment_individual_engagement_base_T,T,engagement_target,valence_mean,-0.06718881680198262,0.06718881680198262,0.13037663406687697
segment_individual_engagement_base_T,T,engagement_target,role_p_green,0.17164379215458192,0.17164379215458192,0.011139858240004078
segment_individual_engagement_base_T,T,engagement_target,role_p_red,0.3230731668848673,0.3230731668848673,0.013812531060527678
segment_group_task_engagement_base_all,all,task_engagement,segment_duration_s,0.928476333956415,0.928476333956415,0.1252968570735721
segment_group_task_engagement_base_all,all,task_engagement,word_count,-0.23909323097265286,0.23909323097265286,0.07293031653703584
segment_group_task_engagement_base_all,all,task_engagement,avg_word_length,-0.19073628319228778,0.19073628319228778,0.09139003542401161
segment_group_task_engagement_base_all,all,task_engagement,words_per_second,0.451694294396288,0.451694294396288,0.11057975199999776
segment_group_task_engagement_base_all,all,task_engagement,question,-0.15958723772580413,0.15958723772580413,0.015503327098255368
segment_group_task_engagement_base_all,all,task_engagement,statement,0.15958723772580416,0.15958723772580416,0.015598759999865435
segment_group_task_engagement_base_all,all,task_engagement,sentiment_p_blue_mean,0.03339992544502498,0.03339992544502498,0.059727040570045686
segment_group_task_engagement_base_all,all,task_engagement,sentiment_p_green_mean,-0.045209846862931446,0.045209846862931446,0.0689215978350171
segment_group_task_engagement_base_all,all,task_engagement,sentiment_p_red_mean,-0.06539192937294644,0.06539192937294644,0.033615301015564224
segment_group_task_engagement_base_all,all,task_engagement,arousal_mean,-0.2314922841451725,0.2314922841451725,0.12431460351944824
segment_group_task_engagement_base_all,all,task_engagement,dominance_mean,0.2348591395536748,0.2348591395536748,0.12313755873811298
segment_group_task_engagement_base_all,all,task_engagement,valence_mean,0.22346604093186206,0.22346604093186206,0.13720146588457524
segment_group_task_engagement_base_all,all,task_engagement,role_p_green,-0.13775839840728893,0.13775839840728893,0.011757722786065114
segment_group_task_engagement_base_all,all,task_engagement,role_p_red,-0.16713370918013068,0.16713370918013068,0.010025661518433265
segment_group_task_engagement_base_D,D,task_engagement,segment_duration_s,0.740774507647615,0.740774507647615,0.12259687758063939
