analysis,group_split,target,model,fold,group,accuracy,f1_macro
segment_individual_engagement_base_T,T,engagement_target,SVM (linear),1,triad_13,0.6666666666666666,0.5846153846153846
segment_individual_engagement_base_T,T,engagement_target,Naive Bayes,1,triad_13,0.6023391812865497,0.5600786924939467
segment_individual_engagement_base_T,T,engagement_target,kNN,1,triad_13,0.6900584795321637,0.5975041080072834
segment_individual_engagement_base_T,T,engagement_target,Random Forest,1,triad_13,0.6549707602339181,0.5700404858299595
segment_individual_engagement_base_T,T,engagement_target,Logistic Regression,1,triad_13,0.6549707602339181,0.5806210250654695
segment_individual_engagement_base_T,T,engagement_target,Baseline Uniform,2,triad_14,0.5266272189349113,0.5264780050434295
segment_individual_engagement_base_T,T,engagement_target,QDA,2,triad_14,0.6804733727810651,0.6779361942405421
segment_individual_engagement_base_T,T,engagement_target,SVM (rbf),2,triad_14,0.4970414201183432,0.4444444444444445
segment_individual_engagement_base_T,T,engagement_target,SVM (linear),2,triad_14,0.4556213017751479,0.3130081300813008
segment_individual_engagement_base_T,T,engagement_target,Naive Bayes,2,triad_14,0.7041420118343196,0.7033005617977528
segment_individual_engagement_base_T,T,engagement_target,kNN,2,triad_14,0.5739644970414202,0.5525154457193292
segment_individual_engagement_base_T,T,engagement_target,Random Forest,2,triad_14,0.5857988165680473,0.554190533614712
segment_individual_engagement_base_T,T,engagement_target,Logistic Regression,2,triad_14,0.5857988165680473,0.547782874617737
segment_individual_engagement_base_T,T,engagement_target,Baseline Uniform,3,triad_09,0.4970414201183432,0.47313405464881714
segment_individual_engagement_base_T,T,engagement_target,QDA,3,triad_09,0.6627218934911243,0.6211209439528024
segment_individual_engagement_base_T,T,engagement_target,SVM (rbf),3,triad_09,0.6863905325443787,0.576801322938814
segment_individual_engagement_base_T,T,engagement_target,SVM (linear),3,triad_09,0.6804733727810651,0.55
segment_individual_engagement_base_T,T,engagement_target,Naive Bayes,3,triad_09,0.6863905325443787,0.647708947885939
segment_individual_engagement_base_T,T,engagement_target,kNN,3,triad_09,0.5857988165680473,0.5138888888888888
segment_individual_engagement_base_T,T,engagement_target,Random Forest,3,triad_09,0.6627218934911243,0.5928743501965259
segment_individual_engagement_base_T,T,engagement_target,Logistic Regression,3,triad_09,0.6923076923076923,0.6005454545454546
segment_individual_engagement_base_T,T,engagement_target,Baseline Uniform,4,triad_06,0.5269461077844312,0.4717094462018981
